         Trip ID                        ...                                                            Ending Lat-Long
0        1912818                        ...                          {'longitude': '-118.23721', 'latitude': '34.05...
1        1919661                        ...                          {'longitude': '-118.23721', 'latitude': '34.05...
2        1933383                        ...                          {'longitude': '-118.24156', 'latitude': '34.05...
3        1944197                        ...                          {'longitude': '-118.24156', 'latitude': '34.05...
4        1940317                        ...                          {'longitude': '-118.25588', 'latitude': '34.04...
5        1944075                        ...                          {'longitude': '-118.23649', 'latitude': '34.03...
6        1944073                        ...                          {'longitude': '-118.23721', 'latitude': '34.05...
7        1944067                        ...                          {'longitude': '-118.25905', 'latitude': '34.04...
8        1944062                        ...                          {'longitude': '-118.25244', 'latitude': '34.04...
9        1944063                        ...                          {'longitude': '-118.23894', 'latitude': '34.06...
10       1944061                        ...                          {'longitude': '-118.2664', 'latitude': '34.039...
11       1944059                        ...                          {'longitude': '-118.25905', 'latitude': '34.04...
12       1944058                        ...                          {'longitude': '-118.24353', 'latitude': '34.05...
13       1944054                        ...                          {'longitude': '-118.26014', 'latitude': '34.04...
14       1944057                        ...                          {'longitude': '-118.24353', 'latitude': '34.05...
15       1944055                        ...                          {'longitude': '-118.25384', 'latitude': '34.04...
16       1944052                        ...                          {'longitude': '-118.2558', 'latitude': '34.040...
17       1944050                        ...                          {'longitude': '-118.25459', 'latitude': '34.05...
18       1944048                        ...                          {'longitude': '-118.24156', 'latitude': '34.05...
19       1944049                        ...                          {'longitude': '-118.25283', 'latitude': '34.04...
20       1944051                        ...                          {'longitude': '-118.25095', 'latitude': '34.05...
21       1944046                        ...                          {'longitude': '-118.23721', 'latitude': '34.05...
22       1944047                        ...                          {'longitude': '-118.26086', 'latitude': '34.03...
23       1944045                        ...                          {'longitude': '-118.23721', 'latitude': '34.05...
24       1944043                        ...                          {'longitude': '-118.2558', 'latitude': '34.040...
25       1944042                        ...                          {'longitude': '-118.26456', 'latitude': '34.05...
26       1981558                        ...                          {'longitude': '-118.23703', 'latitude': '34.04...
27       1952019                        ...                          {'longitude': '-118.25095', 'latitude': '34.05...
28       1944041                        ...                          {'longitude': '-118.24353', 'latitude': '34.05...
29       1944039                        ...                          {'longitude': '-118.23128', 'latitude': '34.03...
...          ...                        ...                                                                        ...
132397  23656661                        ...                          {'longitude': '-118.259048', 'latitude': '34.0...
132398  23656660                        ...                          {'longitude': '-118.23317', 'latitude': '34.03...
132399  23656659                        ...                          {'longitude': '-118.264557', 'latitude': '34.0...
132400  23656658                        ...                          {'longitude': '-118.23317', 'latitude': '34.03...
132401  23656657                        ...                          {'longitude': '-118.248253', 'latitude': '34.0...
132402  23656656                        ...                          {'longitude': '-118.237213', 'latitude': '34.0...
132403  23661008                        ...                          {'longitude': '-118.233093', 'latitude': '34.0...
132404  23656655                        ...                          {'longitude': '-118.263382', 'latitude': '34.0...
132405  23656654                        ...                          {'longitude': '-118.268082', 'latitude': '34.0...
132406  23661005                        ...                          {'longitude': '-118.233093', 'latitude': '34.0...
132407  23656653                        ...                          {'longitude': '-118.270813', 'latitude': '34.0...
132408  23664842                        ...                          {'longitude': '-118.237411', 'latitude': '34.0...
132409  23664841                        ...                          {'longitude': '-118.237411', 'latitude': '34.0...
132410  23732455                        ...                          {'longitude': '-118.235352', 'latitude': '34.0...
132411  23741000                        ...                                                                        NaN
132412  23661002                        ...                          {'longitude': '-118.256981', 'latitude': '34.0...
132413  23661003                        ...                          {'longitude': '-118.256981', 'latitude': '34.0...
132414  23661001                        ...                          {'longitude': '-118.23616', 'latitude': '34.06...
132415  23661000                        ...                          {'longitude': '-118.256668', 'latitude': '34.0...
132416  23660999                        ...                          {'longitude': '-118.256668', 'latitude': '34.0...
132417  23660998                        ...                          {'longitude': '-118.251579', 'latitude': '34.0...
132418  23660997                        ...                          {'longitude': '-118.256187', 'latitude': '34.0...
132419  23660996                        ...                          {'longitude': '-118.256187', 'latitude': '34.0...
132420  23660995                        ...                          {'longitude': '-118.251579', 'latitude': '34.0...
132421  23660994                        ...                          {'longitude': '-118.260948', 'latitude': '34.0...
132422  23660993                        ...                          {'longitude': '-118.260948', 'latitude': '34.0...
132423  23660992                        ...                          {'longitude': '-118.260948', 'latitude': '34.0...
132424  23660991                        ...                          {'longitude': '-118.236488', 'latitude': '34.0...
132425  23660990                        ...                          {'longitude': '-118.236488', 'latitude': '34.0...
132426  23664826                        ...                          {'longitude': '-118.246422', 'latitude': '34.0...

[132427 rows x 16 columns]
